lang,seamlessm4t,whisper,seamlessm4t_train,whisper_train,seamlessm4t_test,whisper_test,seamlessm4t_dev,whisper_dev
rus_Cyrl,30.219598180545525,26.10650468006223,30.09365356434846,25.838537900918027,30.360638208290574,26.558922771028715,31.092063993914138,27.592363921714625
ibo_Latn,2.5040036685107556,0.5701402793288182,2.504539745686836,0.5644740569593751,2.5722482798727797,0.5161786532223562,2.221331341845034,0.8765495327800797
zho_Hant,18.217173295557018,8.499206034009292,18.441941537664537,8.566158525783374,17.797636973299287,8.617628352221692,17.35465759468493,7.650615149998924
swe_Latn,38.584381172249316,34.549181688907986,39.11328607085321,34.905654488881424,36.63971071220067,33.197145312676675,38.51925539168356,32.995033987341024
umb_Latn,1.2036120045524648,0.24877924207829266,1.2318917381615762,0.24793675499203588,1.252038907724492,0.2766098559244106,0.6055041023753122,0.10965653455122407
pol_Latn,23.949791257671446,20.499381271727792,23.783157734013432,20.41856337839891,23.81146044485241,20.225714740213537,25.978440165512662,22.002432921863413
gle_Latn,18.901964397900695,1.5350432091138966,20.09729173101253,1.5755978247775944,15.165771298172075,1.405183244631241,15.933911740908577,1.3146613265996132
swh_Latn,32.14295299830968,5.399768890643132,32.649953083880185,5.455573774874337,29.304656289964104,5.070165944012576,33.381740284059475,5.635452594851957
mya_Mymr,19.252584363015863,0.4038114950977439,19.62133742135047,0.3935514708753416,18.42824434760368,0.4608970850229633,17.6583318818401,0.3805515064533341
ron_Latn,36.24228360086243,30.625000477337363,36.71835719217203,30.865315193155595,34.38852633649734,29.600098273740272,36.20027068288548,30.800169900029452
tel_Telu,26.524001757653117,10.103741740575659,26.89240934117203,9.806332989742483,24.869740180121962,10.32189581835217,26.953636413583784,12.374571556311727
tur_Latn,29.42551216361215,21.71842409790385,29.28991046994085,21.194250253296293,29.34370724830103,23.765830677506,30.56427371028646,21.914971448739877
slv_Latn,27.399313721905635,18.131865671428436,27.530595393533183,18.250383421487676,26.022720850407914,17.16763876343902,29.63250166960708,19.4228096193414
nso_Latn,2.3610174387462304,0.635952604304688,2.3130667029834493,0.6911472086546165,2.4741457676593153,0.4554894656231861,2.4908782028559115,0.6046312121645977
urd_Arab,25.321717309906358,15.395311053165939,25.68886850319473,16.14084060413471,23.729801784796102,12.382333404430048,24.834999198213946,15.28393330708272
fuv_Latn,0.8822263032454221,0.24520691599294028,0.7655963617783649,0.1996380675943442,1.0644035452151535,0.34920107788549193,1.5251373472568064,0.8672559067894812
pbt_Arab,17.9664423209107,1.709085954050392,18.60140020505525,1.697550246357835,15.62784320460467,1.9803829872255334,16.931152688822575,1.1618947532663357
tam_Taml,22.594288689225873,5.396130632202365,22.723256945211705,5.312477873002095,21.919865819324304,5.778469907453261,22.992330577862905,5.252055513589745
tgk_Cyrl,26.709226068627935,8.425270522493905,26.787514905951536,8.060831466069482,26.70832435780016,10.535798195275248,25.949090841513428,7.550932464108938
ukr_Cyrl,32.59788446690775,27.282911766585045,32.550432757869125,27.456684886652955,32.63357791921917,27.261543244931737,33.0003959841731,25.53300502749671
npi_Deva,9.690891182853726,10.42408447493174,2.9386331022047356,10.467671871520716,28.252450601440223,10.361037029754197,27.538976898571402,10.112810928893312
tha_Thai,23.358393353944926,13.312373720417403,23.703293765867336,13.673488105397288,22.20821431342313,12.587363309221914,23.020049735205586,11.975567289017118
srp_Cyrl,37.320361648520546,29.869654020219603,37.22334144239268,29.84657310800572,37.692358954954024,29.968673030058962,37.39184225471968,29.86117010360119
uzn_Latn,25.461824867369668,4.96147001835711,25.79890730043596,5.476766191779564,24.240104310866872,3.9193912529500845,25.022723883714974,3.1993465175618576
wol_Latn,1.4429188397975077,1.1030391792806507,1.4663603046604416,1.1791668300719842,1.7507059271578844,1.1221654631196467,0.47633315792085074,0.44528132337855336
vie_Latn,26.59004625294829,19.25730055035438,27.189777660243116,19.73779799274178,24.667828934744723,18.090743268158064,25.45962929696408,17.612390477440087
sna_Latn,3.5970908353691278,1.1224008592341301,3.714871363804301,1.1843860847964367,3.230675297239133,1.0299977663964655,3.419577829136478,0.8545186652162159
yor_Latn,14.900072810481008,0.6108877752530516,14.959956837914993,0.6165683685711473,14.18729605027271,0.6113113201202334,16.094995610991983,0.54466661540246
oci_Latn,23.203647572765565,17.906510406455208,23.619107554864645,18.538530082446325,21.645676050727985,15.911954967033953,20.835393234913663,17.06281584198108
snd_Arab,8.494308365746134,3.4483370692786157,8.24457077021474,3.3871102368029042,8.694279201364617,3.3544346487319476,9.728518680251938,4.306732099843322
som_Latn,17.943896624654098,0.3299459336005597,18.372561796091144,0.3300952723054602,17.21020815970784,0.39235825912295175,15.542672262412013,0.17037274752792933
zul_Latn,12.368026335959918,0.6142795941433811,13.014390356095705,0.6649244698977183,10.03112421597489,0.4624331395195872,11.677002318492374,0.4148909648775021
xho_Latn,7.384630727831231,0.7895710935828517,7.461716731445468,0.8475721075601886,7.249334824300719,0.5448962172521291,6.958640033859011,0.7845071874230359
